Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 6, 60.0, 0.48571428571428577
Query 2, 7, 70.0, 0.5178571428571428
Query 3, 6, 60.0, 0.8
Query 4, 5, 50.0, 0.65
Query 5, 7, 70.0, 0.8571428571428572
Query 6, 8, 80.0, 0.7261904761904762
Query 7, 8, 80.0, 0.3571428571428571
Query 8, 7, 70.0, -0.03571428571428581
Query 9, 3, 30.0, -5.5
Query 10, 6, 60.0, -3.0
Query 11, 4, 40.0, -0.7
Query 12, 6, 60.0, -0.6285714285714286
Query 13, 5, 50.0, -2.95
Query 14, 6, 60.0, -0.17142857142857149
Query 15, 9, 90.0, 0.8166666666666667
Query 16, 6, 60.0, 0.19999999999999996
Query 17, 8, 80.0, 0.9761904761904762
Query 18, 5, 50.0, -0.30000000000000004
Query 19, 4, 40.0, -1.1
Query 20, 0, 0.0, 0
Query 21, 5, 50.0, 0.30000000000000004
Query 22, 5, 50.0, -3.1500000000000004
Query 23, 8, 80.0, 0.7380952380952381
Query 24, 3, 30.0, -3.25
Query 25, 4, 40.0, -0.3999999999999999
Query 26, 7, 70.0, 0.7678571428571428
Query 27, 4, 40.0, 0.5
Query 28, 6, 60.0, -0.5714285714285714
Query 29, 8, 80.0, 0.4642857142857143
Query 30, 5, 50.0, 0.35
Query 31, 3, 30.0, -0.5
Query 32, 8, 80.0, 0.9285714285714286
Query 33, 1, 10.0, 1
Query 34, 7, 70.0, 0.3928571428571429
Query 35, 7, 70.0, 0.5357142857142857
Query 36, 7, 70.0, 0.6785714285714286
Query 37, 3, 30.0, 0.5
Query 38, 8, 80.0, 0.7023809523809523
Query 39, 5, 50.0, -2.4
Query 40, 9, 90.0, 0.875
Query 41, 8, 80.0, 0.9761904761904762
Query 42, 1, 10.0, 0
Query 43, 6, 60.0, 0.7714285714285715
Query 44, 9, 90.0, -0.21666666666666656
Query 45, 8, 80.0, 0.9404761904761905
Query 46, 7, 70.0, 0.6785714285714286
Query 47, 6, 60.0, 0.7428571428571429
Query 48, 3, 30.0, -1.25
Query 49, 8, 80.0, 0.6904761904761905
Query 50, 7, 70.0, 0.6607142857142857
Query 51, 7, 70.0, 0.5
Query 52, 5, 50.0, -0.55
Query 53, 6, 60.0, -1.6857142857142855
Query 54, 6, 60.0, -0.8857142857142857
Query 55, 8, 80.0, 0.9047619047619048
Query 56, 6, 60.0, -0.05714285714285716
Query 57, 4, 40.0, 0.4
Query 58, 6, 60.0, 1.0
Query 59, 7, 70.0, 0.7142857142857143
Query 60, 8, 80.0, 0.8690476190476191
Query 61, 3, 30.0, 0.0
Query 62, 8, 80.0, 0.9523809523809523
Query 63, 8, 80.0, 0.7380952380952381
Query 64, 7, 70.0, 0.8214285714285714
Query 65, 7, 70.0, 0.7142857142857143
Query 66, 6, 60.0, -1.657142857142857
Query 67, 1, 10.0, 1
Query 68, 7, 70.0, 0.7678571428571428
Query 69, 8, 80.0, 0.7976190476190477
Query 70, 1, 10.0, 0
Query 71, 4, 40.0, -2.8
Query 72, 6, 60.0, 0.8857142857142857
Query 73, 6, 60.0, 0.7142857142857143
Query 74, 6, 60.0, 0.9142857142857143
Query 75, 6, 60.0, 0.3142857142857143
Query 76, 7, 70.0, 0.8214285714285714
Query 77, 3, 30.0, -2.0
Query 78, 4, 40.0, -3.5999999999999996
Query 79, 7, 70.0, 0.375
Query 80, 8, 80.0, 0.41666666666666663
Query 81, 3, 30.0, -16.25
Query 82, 6, 60.0, -0.17142857142857149
Query 83, 7, 70.0, 0.75
Query 84, 2, 20.0, -36.0
Query 85, 8, 80.0, 0.9285714285714286
Query 86, 8, 80.0, 0.5238095238095238
Query 87, 8, 80.0, 0.8571428571428572
Query 88, 6, 60.0, -0.6571428571428573
Query 89, 2, 20.0, -9.0
Query 90, 7, 70.0, 0.25
Query 91, 7, 70.0, -0.3928571428571428
Query 92, 7, 70.0, 0.625
Query 93, 8, 80.0, 0.6190476190476191
Query 94, 3, 30.0, -2.0
Query 95, 6, 60.0, 0.5142857142857142
Query 96, 8, 80.0, 0.7857142857142857
Query 97, 5, 50.0, -2.0
Query 98, 7, 70.0, 0.2321428571428571
Query 99, 7, 70.0, 0.875
Query 100, 8, 80.0, 0.6666666666666667
Averages, 5.91, 59.1, -0.6300119047619046